drawTerm,dDate,bigShowOrder,createDate
114022830,2025-04-23,"04,06,11,20,21,22,32,33,34,35,43,53,55,56,59,63,64,65,66,73",2025-04-23 21:54:58.803
114022829,2025-04-23,"01,03,06,08,10,14,26,35,37,42,45,51,62,64,65,68,74,76,77,79",2025-04-23 21:54:59.157
114022828,2025-04-23,"02,04,06,11,12,13,14,21,30,31,41,44,47,63,64,67,70,72,75,76",2025-04-23 21:54:59.167
114022827,2025-04-23,"06,08,09,11,20,22,24,32,38,42,50,51,54,56,61,64,66,67,69,72",2025-04-23 21:54:59.180
114022826,2025-04-23,"02,03,05,07,13,15,19,21,28,29,32,46,49,50,55,57,58,66,77,80",2025-04-23 21:54:59.197
114022825,2025-04-23,"05,12,13,14,19,30,31,32,38,43,44,51,53,55,57,59,64,71,77,79",2025-04-23 21:54:59.210
114022824,2025-04-23,"08,15,17,29,35,36,38,40,43,45,50,55,59,62,64,65,68,73,74,77",2025-04-23 21:54:59.230
114022823,2025-04-23,"01,04,12,17,18,19,23,29,31,37,38,39,47,49,53,62,63,66,75,79",2025-04-23 21:54:59.247
114022822,2025-04-23,"01,02,06,13,15,16,18,21,23,33,36,45,47,48,51,54,61,67,68,72",2025-04-23 21:54:59.267
114022821,2025-04-23,"02,04,14,15,19,20,21,25,26,28,29,35,44,47,50,51,58,62,65,66",2025-04-23 21:54:59.287
114022820,2025-04-23,"02,05,09,14,16,24,28,29,30,32,42,52,58,59,65,69,70,73,76,78",2025-04-23 21:54:59.303
114022819,2025-04-23,"02,04,17,18,19,22,27,31,32,35,36,45,47,51,54,69,71,72,73,75",2025-04-23 21:54:59.320
114022818,2025-04-23,"06,17,21,22,28,29,30,31,32,38,48,50,51,61,70,72,77,78,79,80",2025-04-23 21:54:59.333
114022817,2025-04-23,"03,08,09,11,12,18,19,22,33,35,36,39,40,41,42,44,56,63,66,80",2025-04-23 21:54:59.357
114022816,2025-04-23,"02,03,06,13,28,29,32,40,41,47,49,51,55,56,58,63,64,67,69,78",2025-04-23 21:54:59.370
114022815,2025-04-23,"03,05,12,14,18,23,26,28,34,38,40,48,50,51,61,63,64,65,66,73",2025-04-23 21:54:59.387
114022814,2025-04-23,"07,09,15,18,19,20,23,26,28,35,39,43,47,48,51,56,62,77,78,80",2025-04-23 21:54:59.400
114022813,2025-04-23,"01,03,16,18,22,23,26,35,36,40,45,48,49,54,56,67,71,72,78,80",2025-04-23 21:54:59.413
114022812,2025-04-23,"03,05,10,16,20,21,23,24,26,31,35,39,42,54,55,62,64,66,67,80",2025-04-23 21:54:59.430
114022811,2025-04-23,"02,08,10,16,17,34,36,39,43,46,48,54,55,57,58,61,64,68,70,77",2025-04-23 21:54:59.450
114022810,2025-04-23,"07,10,16,17,19,28,32,34,39,41,43,45,46,52,54,60,64,65,77,78",2025-04-23 21:54:59.467
114022809,2025-04-23,"03,04,06,07,10,14,16,23,26,39,40,48,49,52,58,63,73,75,78,79",2025-04-23 21:54:59.480
114022808,2025-04-23,"09,11,15,18,26,28,33,37,40,41,42,48,56,62,67,69,73,75,76,80",2025-04-23 21:54:59.493
114022807,2025-04-23,"05,06,18,23,26,28,32,37,39,43,45,49,50,51,55,62,63,71,76,77",2025-04-23 21:54:59.510
114022806,2025-04-23,"03,05,13,14,16,18,20,21,22,28,34,36,42,43,49,61,63,66,70,79",2025-04-23 21:54:59.523
114022805,2025-04-23,"01,05,06,11,15,20,24,27,28,33,41,45,47,48,57,61,67,68,71,72",2025-04-23 21:54:59.540
114022804,2025-04-23,"03,06,19,30,36,37,38,41,42,46,49,51,56,57,58,67,71,72,76,78",2025-04-23 21:54:59.553
114022803,2025-04-23,"04,12,13,17,20,25,27,31,33,39,40,42,55,56,63,65,72,74,76,78",2025-04-23 21:54:59.573
114022802,2025-04-23,"01,07,10,14,17,19,21,24,37,39,40,42,44,48,52,53,60,62,65,66",2025-04-23 21:54:59.590
114022801,2025-04-23,"03,07,09,16,22,25,27,28,31,32,33,42,46,52,54,55,59,60,67,71",2025-04-23 21:54:59.603
114022800,2025-04-23,"06,07,09,10,11,14,15,18,27,29,33,35,41,46,55,63,72,76,79,80",2025-04-23 21:54:59.627
114022799,2025-04-23,"02,06,08,17,19,33,36,38,45,47,48,49,61,65,71,73,74,76,77,80",2025-04-23 21:54:59.643
114022798,2025-04-23,"01,05,08,10,22,24,31,32,34,35,37,38,45,47,56,74,75,76,79,80",2025-04-23 21:54:59.660
114022797,2025-04-23,"01,02,03,05,07,13,15,17,18,24,27,30,32,38,42,48,51,56,62,76",2025-04-23 21:54:59.680
114022796,2025-04-23,"02,04,12,16,17,18,24,28,30,31,33,49,53,54,62,69,75,77,78,79",2025-04-23 21:54:59.697
114022795,2025-04-23,"06,18,19,20,21,35,38,39,43,46,47,48,53,55,60,64,68,70,73,76",2025-04-23 21:54:59.710
114022794,2025-04-23,"03,10,13,23,26,32,35,37,44,47,48,50,51,56,57,58,64,65,67,74",2025-04-23 21:54:59.723
114022793,2025-04-23,"02,03,04,14,15,16,21,27,32,33,34,37,59,63,68,69,70,71,72,80",2025-04-23 21:54:59.743
114022792,2025-04-23,"02,09,15,19,21,37,38,45,46,48,49,51,53,54,63,66,71,73,74,80",2025-04-23 21:54:59.760
114022791,2025-04-23,"07,08,09,15,17,21,22,26,30,33,38,42,48,55,59,60,62,63,64,75",2025-04-23 21:54:59.773
114022790,2025-04-23,"01,05,07,12,13,15,28,36,37,38,49,51,54,55,57,59,67,68,72,73",2025-04-23 21:54:59.787
114022789,2025-04-23,"01,02,07,14,15,18,20,24,25,31,40,41,47,50,55,56,62,75,76,80",2025-04-23 21:54:59.800
114022788,2025-04-23,"03,12,16,20,23,28,29,35,36,49,53,54,56,57,64,68,69,71,74,80",2025-04-23 21:54:59.817
114022787,2025-04-23,"02,06,07,11,13,18,19,20,30,43,45,53,58,61,68,69,70,75,78,79",2025-04-23 21:54:59.833
114022786,2025-04-23,"01,04,05,09,16,27,28,30,37,38,49,56,59,62,64,69,70,71,74,78",2025-04-23 21:54:59.847
114022785,2025-04-23,"01,02,05,10,13,25,27,35,38,42,46,47,48,60,63,65,66,68,72,78",2025-04-23 21:54:59.863
114022784,2025-04-23,"07,08,10,20,21,22,23,25,26,27,28,33,46,48,49,59,61,62,67,75",2025-04-23 21:54:59.877
114022783,2025-04-23,"06,08,12,15,19,20,21,25,26,31,33,43,48,51,59,69,73,75,77,78",2025-04-23 21:54:59.897
114022782,2025-04-23,"06,07,17,19,27,30,35,36,39,45,47,52,55,58,60,65,70,72,73,79",2025-04-23 21:54:59.910
114022781,2025-04-23,"02,03,10,13,19,20,24,25,26,30,32,35,39,45,52,53,64,67,74,80",2025-04-23 21:54:59.923
114022780,2025-04-23,"01,04,09,13,15,16,24,26,28,29,34,42,50,56,57,66,69,73,76,77",2025-04-23 21:54:59.950
114022779,2025-04-23,"08,10,11,12,19,24,30,31,34,35,37,39,43,54,63,72,74,75,76,78",2025-04-23 21:54:59.963
114022778,2025-04-23,"01,05,08,09,17,18,21,32,38,39,49,59,60,63,64,66,68,71,75,77",2025-04-23 21:54:59.980
114022777,2025-04-23,"01,12,13,14,16,19,27,33,36,37,50,54,56,58,63,64,65,68,70,71",2025-04-23 21:54:59.993
114022776,2025-04-23,"01,12,14,16,18,19,29,34,41,43,44,46,50,57,58,59,60,69,75,76",2025-04-23 21:55:00.010
114022775,2025-04-23,"08,13,15,16,26,27,29,32,37,44,55,59,60,63,64,73,74,75,77,78",2025-04-23 21:55:00.027
114022774,2025-04-23,"01,05,09,12,21,23,25,36,37,39,43,45,47,53,59,63,73,76,78,80",2025-04-23 21:55:00.040
114022773,2025-04-23,"03,07,10,12,17,23,25,27,30,36,38,48,62,65,66,67,69,71,72,74",2025-04-23 21:55:00.067
114022772,2025-04-23,"01,02,03,06,08,10,18,20,31,32,35,43,47,50,56,62,64,68,75,77",2025-04-23 21:55:00.083
114022771,2025-04-23,"01,04,07,12,15,21,22,25,28,29,33,34,39,47,56,63,65,71,77,80",2025-04-23 21:55:00.097
114022770,2025-04-23,"11,13,17,23,26,31,34,38,39,40,45,47,52,55,57,60,64,76,79,80",2025-04-23 21:55:00.113
114022769,2025-04-23,"02,06,10,26,29,31,35,38,46,47,51,52,58,61,64,67,71,73,74,78",2025-04-23 21:55:00.127
114022768,2025-04-23,"02,05,07,09,12,13,20,23,25,29,31,36,40,47,49,52,68,73,78,79",2025-04-23 21:55:00.140
114022767,2025-04-23,"02,10,12,14,17,22,26,31,32,34,36,42,43,45,48,51,54,69,73,77",2025-04-23 21:55:00.163
114022766,2025-04-23,"07,08,21,24,26,33,37,38,39,44,46,48,52,66,67,68,69,73,78,80",2025-04-23 21:55:00.180
114022765,2025-04-23,"01,09,10,16,19,20,24,32,33,38,40,42,52,54,62,64,65,69,76,79",2025-04-23 21:55:00.193
114022764,2025-04-23,"04,10,16,21,26,31,35,38,42,46,50,54,57,59,61,62,66,69,73,75",2025-04-23 21:55:00.207
114022763,2025-04-23,"04,09,15,17,20,24,29,30,31,32,34,35,38,40,41,43,53,58,65,72",2025-04-23 21:55:00.227
114022762,2025-04-23,"05,06,15,26,36,38,43,44,45,46,48,52,53,54,58,59,66,72,74,80",2025-04-23 21:55:00.240
114022761,2025-04-23,"04,06,08,21,22,30,33,34,37,46,47,50,54,62,63,65,68,70,74,76",2025-04-23 21:55:00.257
114022760,2025-04-23,"07,08,13,15,18,27,28,32,40,43,50,58,66,67,68,70,73,76,77,78",2025-04-23 21:55:00.270
114022759,2025-04-23,"03,08,22,23,28,30,33,41,42,45,51,53,56,60,62,70,71,73,75,78",2025-04-23 21:55:00.287
114022758,2025-04-23,"10,12,15,17,20,21,22,23,40,44,48,55,58,63,66,69,71,72,74,76",2025-04-23 21:55:00.303
114022757,2025-04-23,"03,04,08,12,22,23,24,28,32,33,37,44,49,55,58,60,64,69,76,78",2025-04-23 21:55:00.320
114022756,2025-04-23,"06,15,17,19,20,21,25,27,29,31,34,40,44,50,57,65,72,74,76,80",2025-04-23 21:55:00.340
114022755,2025-04-23,"11,26,34,37,38,40,45,48,50,56,58,59,61,65,68,71,74,78,79,80",2025-04-23 21:55:00.357
114022754,2025-04-23,"02,03,08,10,14,16,17,18,21,24,27,34,38,39,48,56,57,67,74,75",2025-04-23 21:55:00.370
114022753,2025-04-23,"06,10,11,13,14,18,20,22,24,30,32,39,49,52,65,70,71,73,76,79",2025-04-23 21:55:00.383
114022752,2025-04-23,"06,08,11,14,16,22,24,28,29,40,46,50,51,54,57,62,67,72,76,79",2025-04-23 21:55:00.400
114022751,2025-04-23,"12,14,16,19,25,27,29,30,32,37,38,41,42,46,49,59,65,66,75,78",2025-04-23 21:55:00.413
114022750,2025-04-23,"02,07,08,09,11,17,19,24,30,32,35,40,41,52,54,59,67,68,73,79",2025-04-23 21:55:00.433
114022749,2025-04-23,"05,13,15,17,24,25,26,27,35,36,40,41,42,44,47,50,54,56,58,59",2025-04-23 21:55:00.447
114022748,2025-04-23,"01,06,11,13,14,19,21,22,25,37,40,41,42,53,57,66,67,68,75,77",2025-04-23 21:55:00.460
114022747,2025-04-23,"05,08,09,15,18,31,35,36,39,44,51,52,55,56,60,65,68,69,73,74",2025-04-23 21:55:00.477
114022746,2025-04-23,"02,09,15,17,25,27,28,29,30,33,35,42,45,49,56,59,65,67,75,80",2025-04-23 21:55:00.497
114022745,2025-04-23,"04,05,07,17,18,19,20,21,25,27,29,31,32,36,40,42,47,50,70,77",2025-04-23 21:55:00.510
114022744,2025-04-23,"02,03,07,09,12,13,16,21,30,35,36,41,48,49,55,56,57,63,73,75",2025-04-23 21:55:00.527
114022743,2025-04-23,"07,16,17,19,25,28,31,34,39,40,41,48,49,50,51,52,59,70,72,73",2025-04-23 21:55:00.543
114022742,2025-04-23,"04,05,07,11,12,16,26,32,35,37,43,48,55,58,59,61,66,75,78,80",2025-04-23 21:55:00.560
114022741,2025-04-23,"08,13,17,22,23,25,30,32,33,40,44,46,54,57,59,62,69,71,72,73",2025-04-23 21:55:00.573
114022740,2025-04-23,"01,05,11,16,17,19,21,24,28,34,41,52,54,62,69,70,71,74,78,80",2025-04-23 21:55:00.593
114022739,2025-04-23,"01,04,05,16,17,23,30,35,40,41,44,48,52,55,58,65,68,70,78,79",2025-04-23 21:55:00.610
114022738,2025-04-23,"03,05,07,11,13,14,19,22,23,26,27,38,42,47,51,54,56,58,64,77",2025-04-23 21:55:00.623
114022737,2025-04-23,"02,08,10,11,14,16,19,21,26,28,30,31,35,40,43,48,60,65,69,78",2025-04-23 21:55:00.640
